filename  label
0\01165_00000.png  0
0\01165_00001.png  0
0\01165_00002.png  0
0\01280_00000.png  0
0\01280_00001.png  0
0\01280_00002.png  0
1\01847_00000.png  1
1\01847_00001.png  1
1\01847_00002.png  1
1\01848_00000.png  1
1\01848_00001.png  1
1\01848_00002.png  1
1\01849_00000.png  1
1\01849_00001.png  1
1\01849_00002.png  1
1\01852_00000.png  1
1\01852_00001.png  1
1\01852_00002.png  1
1\01973_00000.png  1
1\01973_00001.png  1
1\01973_00002.png  1
1\02029_00000.png  1
1\02029_00001.png  1
1\02029_00002.png  1
1\02034_00000.png  1
1\02034_00001.png  1
1\02034_00002.png  1
1\02035_00000.png  1
1\02035_00001.png  1
1\02035_00002.png  1
1\02051_00000.png  1
1\02051_00001.png  1
1\02051_00002.png  1
1\02053_00000.png  1
1\02053_00001.png  1
1\02053_00002.png  1
1\02060_00000.png  1
1\02060_00001.png  1
1\02060_00002.png  1
1\02070_00000.png  1
1\02070_00001.png  1
1\02070_00002.png  1
1\02078_00000.png  1
1\02078_00001.png  1
1\02078_00002.png  1
1\02086_00000.png  1
1\02086_00001.png  1
1\02086_00002.png  1
1\02096_00000.png  1
1\02096_00001.png  1
1\02096_00002.png  1
1\02105_00000.png  1
1\02105_00001.png  1
1\02105_00002.png  1
1\02152_00000.png  1
1\02152_00001.png  1
1\02152_00002.png  1
1\02154_00000.png  1
1\02154_00001.png  1
1\02154_00002.png  1
1\02172_00000.png  1
1\02172_00001.png  1
1\02172_00002.png  1
1\02180_00000.png  1
1\02180_00001.png  1
1\02180_00002.png  1
1\02255_00000.png  1
1\02255_00001.png  1
1\02255_00002.png  1
1\02287_00000.png  1
1\02287_00001.png  1
1\02287_00002.png  1
1\02296_00000.png  1
1\02296_00001.png  1
1\02296_00002.png  1
1\02299_00000.png  1
1\02300_00000.png  1
1\02300_00001.png  1
1\02300_00002.png  1
1\02301_00000.png  1
1\02301_00001.png  1
1\02301_00002.png  1
1\02303_00000.png  1
1\02303_00001.png  1
1\02305_00000.png  1
1\02305_00001.png  1
1\02305_00002.png  1
1\02324_00000.png  1
1\02324_00001.png  1
1\02324_00002.png  1
1\02334_00000.png  1
1\02334_00001.png  1
1\02334_00002.png  1
1\02336_00000.png  1
1\02336_00001.png  1
1\02336_00002.png  1
1\02402_00000.png  1
1\02402_00001.png  1
1\02402_00002.png  1
1\02413_00000.png  1
1\02413_00001.png  1
1\02413_00002.png  1
1\02420_00000.png  1
1\02420_00001.png  1
1\02420_00002.png  1
1\02421_00000.png  1
1\02421_00001.png  1
1\02421_00002.png  1
1\02422_00000.png  1
1\02422_00001.png  1
1\02422_00002.png  1
1\02427_00000.png  1
1\02427_00001.png  1
1\02427_00002.png  1
1\02428_00000.png  1
1\02428_00001.png  1
1\02428_00002.png  1
10\01105_00000.png  10
10\01105_00001.png  10
10\01105_00002.png  10
10\01113_00000.png  10
10\01113_00001.png  10
10\01113_00002.png  10
10\01113_00003.png  10
10\01118_00000.png  10
10\01118_00001.png  10
10\01119_00000.png  10
10\01119_00001.png  10
10\01119_00002.png  10
10\01137_00000.png  10
10\01137_00001.png  10
10\01140_00000.png  10
10\01140_00001.png  10
10\01146_00000.png  10
10\01146_00001.png  10
10\01146_00002.png  10
10\01149_00000.png  10
10\01149_00001.png  10
10\01149_00002.png  10
10\01150_00000.png  10
10\01150_00001.png  10
10\01150_00002.png  10
10\01155_00000.png  10
10\01155_00001.png  10
10\01155_00002.png  10
10\01156_00000.png  10
10\01156_00001.png  10
10\01156_00002.png  10
10\01168_00000.png  10
10\01168_00001.png  10
10\01168_00002.png  10
10\01169_00000.png  10
10\01169_00001.png  10
10\01169_00002.png  10
10\01171_00000.png  10
10\01171_00001.png  10
10\01171_00002.png  10
10\01171_00003.png  10
10\01173_00000.png  10
10\01173_00001.png  10
10\01173_00002.png  10
10\01210_00000.png  10
10\01210_00001.png  10
10\01210_00002.png  10
10\01213_00000.png  10
10\01213_00001.png  10
10\01213_00002.png  10
10\01221_00000.png  10
10\01221_00001.png  10
10\01221_00002.png  10
10\01224_00000.png  10
10\01224_00001.png  10
10\01224_00002.png  10
10\01245_00000.png  10
10\01245_00001.png  10
10\01245_00002.png  10
10\01246_00000.png  10
10\01246_00001.png  10
10\01246_00002.png  10
10\01250_00000.png  10
10\01250_00001.png  10
10\01250_00002.png  10
10\01251_00000.png  10
10\01251_00001.png  10
10\01251_00002.png  10
10\01252_00000.png  10
10\01252_00001.png  10
10\01252_00002.png  10
10\01255_00000.png  10
10\01255_00001.png  10
10\01255_00002.png  10
10\01265_00000.png  10
10\01265_00001.png  10
10\01265_00002.png  10
